Story ID,Title,As a,I want,So that,Acceptance Criteria,Preconditions,Postconditions,Action Buttons,Priority,Story Points,,,
US-NA-001,Define New Program,Super Admin,"define a new program (e.g., Safety Observation, DDLS) with name, code, type (Action/Workflow/Viewer), and status",the notification engine can dynamically attach events and rules without code changes,"1. Form fields: Program Name, Program Code (unique), Type (dropdown), Description, Status (Active/Inactive). 2. On save, program appears in Alert Configuration dropdown. 3. If program Inactive, no notifications are triggered for any of its events. 4. Editing an existing program preserves all mapped events and rules.",Super Admin logged in with configuration rights.,Program saved in PROGRAMS table. System ready to map events and rules to this program.,"Save Program, Cancel, Edit, Deactivate, Activate",High,5,,,
US-NA-002,Map Event Types to Program,Super Admin,"Map specific event types (e.g., Created, Updated, Assigned, Resolved, Closed, Mentioned, Commented, Approved, Rejected) to a program, with the ability to enable or disable each event individually. For each mapped event, configure the source database table and the specific column(s) that indicate when the event has occurred � for example, for the ""Closed"" event, define the table (e.g., service_requests) and the column (e.g., status = 'closed') that the system should monitor to trigger the event",only relevant events trigger notifications for that program and unused events are ignored,"1. Select Program, system shows event catalog filtered by program type. 2. Action-based programs: Created, Updated, Assigned, Resolved, Closed, Viewed, Downloaded. 3. Workflow-based programs: Pending, Approved, Rejected. 4. Viewer-based programs: Viewed, Downloaded. 5. Toggle per event to enable/disable. 6. Disabled events never load any alert config and no notifications are sent.",Programs already exist in PROGRESS table.,Event mappings saved in EVENT_MASTER. Alert configuration dropdown shows only enabled events for that program.,"Select Program, Enable/Disable Event, Save Mappings, Cancel",High,3,,,
US-NA-003,Create Global Event Catalog,Super Admin,"create reusable event types (e.g., 'Escalated', 'Reminded') and make them available across multiple programs",new event types can be added without changing code and reused consistently,"1. Event creation form: Event Name, Event Code (unique), Description, Applicable Program Types (Action/Workflow/Viewer). 2. Saved event appears in the Event Master list. 3. Event can be mapped to any compatible program via US-NA-002. 4. Deleting an event shows warning if already mapped. 5. Events are soft-deletable (status Active/Inactive).",Super Admin logged in. No duplicate event codes.,Global event catalog updated. New events available for program mapping.,"Create Event, Edit Event, Delete Event, Activate/Deactivate, Search Events",Medium,3,,,
US-NA-004,Define System Roles Library,Super Admin,"Define system recipient groups (e.g., Creator, Updater, Mentioned User, Assigned User, Approver, Viewer, Resolver, Closer, Downloader) with unique codes and descriptions. For each recipient group, provide the ability to map a database table and column, in the context of a specific program, so that the system can resolve the actual user(s) by reading the value from that column in the corresponding record.
",alert rules can select  Recipient Group dynamically and recipients are resolved based on role logic,"1.  Recipient Group form:  Recipient Group Name,  Recipient Group Code (unique), Description, Default Resolution Logic (Direct User / Hierarchy / Team / Fallback). 2. Saved  Recipient Group appears in  Recipient Group Library. 3.  Recipient Group can be used in any alert configuration across programs. 4.  Recipient Group cannot be deleted if referenced by any active alert rule. 5.  Recipient Group resolution logic can be overridden in US-NA-006.",Super Admin logged in.,System roles stored in SYSTEM_ROLES table. Ready for use in alert rules.,"Add Role, Edit Role, Delete Role, View Usage, Set Resolution Logic",High,3,,,
US-NA-005,Define Recipient Resolution Logic,Super Admin,"Define how recipients are resolved for each recipient group by selecting a resolution strategy from the following options:
Direct User � specify a fixed user who always receives notifications for this group.
By Table Column � dynamically fetch the user(s) from a database column (e.g., Creator, Editor, Resolver, Assignee) in the program's source table.
By Recipient Group � reuse another recipient group's resolution logic (e.g., fallback to a different group).
Fallback User � provide one or more backup users to notify when the primary resolution returns no valid user.",the system always finds the correct person to notify, even when primary assignee is missing,"1. For each role, select resolution strategy: 'Direct User', 'Hierarchy (Project→Site→Manager)', 'Team (all members)', 'Fallback Sequence'. 2. For Fallback: define ordered list of fallback roles (e.g., if Assignee missing, notify Supervisor, then Manager). 3. Test resolution with a sample record ID to see which users would be notified. 4. Save resolution strategy per role or per program? (Assume per role globally, with optional program override).",Roles already defined in Role Library.,Resolution logic stored. Alert engine uses this to resolve recipients at runtime.,"Set Resolution Strategy, Test Resolution, Save, Cancel, Add Fallback Step",High,5,,
US-NA-006,Create Conditional Alert Rules,Super Admin,"create alert rules with conditions (AND/OR logic) on record attributes such as severity, region, or value",notifications are sent only when specific business conditions are met, reducing noise,"1. Rule form: Program, Event, Roles to notify, Channels, Template, Condition (optional). 2. Condition builder: add condition groups with attribute (e.g., severity), operator (=, !=, >, <, contains), value (Critical, High). 3. Support AND/OR between groups. 4. Preview recipients based on condition + sample record. 5. Save only if condition syntax is valid. 6. Inactive rules never trigger.",Program, Event, and Roles already defined.,Alert rule saved in ALERT_CONFIGURATIONS. Condition logic applied at runtime.,"Add Condition Group, Add Condition Row, Preview Recipients, Save Rule, Test Condition",High,8
US-NA-007,Configure Multi-level Escalation Matrix,Super Admin,"configure time-based escalation levels (e.g., level 1 after 24h, level 2 after 48h) with different  Recipient Group and channels",critical issues are escalated to higher management if not resolved in time,"1. On alert rule, enable Escalation. 2. Define levels: Level 1 delay (hours), role, channels, template. 3. Level 2, Level 3 similar. 4. Option 'Repeat Escalation every X hours after final level'. 5. Escalation uses scheduled job that checks unresolved records. 6. Idempotent: each level triggers only once per record. 7. Preview escalation timeline.",Alert rule exists with SLA/event that can be unresolved.,Escalation matrix stored. Scheduled job processes escalations based on configuration.,"Add Escalation Level, Set Delay (h), Select Role, Choose Channels, Preview Timeline, Save",High,8,,,
US-NA-008,Set Notification Deduplication Rules,Super Admin,"define deduplication window and scope (per user, per record, per event) to avoid duplicate alerts",users never receive the same notification twice within a short time,"1. Deduplication settings: Window (minutes), Scope (Global / Per User / Per Record). 2. 'Per User' prevents sending same event type to same user multiple times within window. 3. 'Per Record' prevents multiple notifications for same record+event+user. 4. Option to send anyway if condition changed. 5. Test deduplication with simulation. 6. Default window = 5 minutes.",Alert rule already created.,Deduplication logic applied by notification engine. Duplicate notifications suppressed.,"Set Window, Choose Scope, Test Simulation, Save Settings, Override for Critical",Medium,3,,,
US-NA-009,Global Channel Control,Super Admin,"enable or disable notification channels globally (Email, In App, WhatsApp, SMS), overriding any local rule settings",all notifications can be paused for a channel during maintenance or compliance issues,"1. Channel Control page shows each channel with toggle (Active/Inactive). 2. When channel Inactive, no notifications are sent via that channel regardless of rule configuration. 3. Log entries show 'Blocked by Global Channel Control'. 4. Kill Switch (US-NA-010) also available. 5. Channel status displayed in admin dashboard.",Super Admin logged in.,Channel status stored. Notification dispatcher checks global status before sending.,"Enable/Disable Email, Enable/Disable In‑App, Enable/Disable WhatsApp, Enable/Disable SMS, Save",High,2,,,
US-NA-010,Kill Switch (Global Notification Off),Super Admin,toggle a global Kill Switch that immediately disables all notifications across all channels and programs,an emergency stop is available if something goes wrong (e.g., spamming users),"1. Kill Switch: large toggle with confirmation dialog. 2. When ON, no notification is sent by any trigger. 3. All notification attempts logged with status 'Killed by Global Switch'. 4. Admins receive in-app alert when Kill Switch toggled. 5. Switch state persists across server restarts. 6. Only Super Admin can toggle.",Super Admin has access to System Settings page.,Kill Switch state saved. Notifications blocked until turned OFF.,"Turn Kill Switch ON, Turn Kill Switch OFF, Confirm Action, View Kill Switch Log",Critical,2,,
